泉岳寺,250-0
品川,250-1
北品川,250-2
新馬場,250-3
青物横丁,250-4
鮫洲,250-5
立会川,250-6
大森海岸,250-7
平和島,250-8
大森町,250-9
梅屋敷,250-10
京急蒲田,250-11
雑色,250-12
六郷土手,250-13
京急川崎,250-14
八丁畷,250-15
鶴見市場,250-16
京急鶴見,250-17
花月園前,250-18
生麦,250-19
京急新子安,250-20
子安,250-21
神奈川新町,250-22
仲木戸,250-23
神奈川,250-24
横浜,250-25
戸部,250-26
日ノ出町,250-27
黄金町,250-28
南太田,250-29
井土ヶ谷,250-30
弘明寺,250-31
上大岡,250-32
屏風浦,250-33
杉田,250-34
京急富岡,250-35
能見台,250-36
金沢文庫,250-37
金沢八景,250-38
追浜,250-39
京急田浦,250-40
安針塚,250-41
逸見,250-42
汐入,250-43
横須賀中央,250-44
京急安浦,250-45
堀ノ内,250-46
京急大津,250-47
馬堀海岸,250-48
浦賀,250-49
糀谷,253-1
大鳥居,253-2
穴守稲荷,253-3
天空橋,253-4
羽田空港第３ターミナル,253-6
羽田空港第１・第２ターミナル,253-7
港町,251-1
鈴木町,251-2
川崎大師,251-3
東門前,251-4
産業道路,251-5
小島新田,251-6
六浦,252-2
神武寺,252-3
逗子・葉山,252-4
新大津,679-1
北久里浜,679-2
京急久里浜,679-3
ＹＲＰ野比,679-4
京急長沢,679-5
津久井浜,679-6
三浦海岸,679-7
三崎口,679-8
